Country,Crime Index
South Sudan,85.32
Venezuela,84.07
Guatemala,79.34
South Africa,78.44
Afghanistan,77.34
Guyana,76.88
Nigeria,76.60
Trinidad And Tobago,75.28
Honduras,74.91
Bahamas,72.93
Kenya,72.61
Jamaica,71.91
Mongolia,70.25
Yemen,70.09
Malaysia,69.97
Papua New Guinea,69.89
Libya,69.64
El Salvador,69.44
Brazil,68.95
Maldives,68.75
Angola,67.97
Dominican Republic,67.72
Puerto Rico,67.06
Bolivia,65.60
Somalia,65.60
Kyrgyzstan,65.07
Cameroon,64.84
Bangladesh,64.25
Costa Rica,63.05
Argentina,62.40
Haiti,62.31
Belize,62.27
Zimbabwe,62.18
Tanzania,61.80
Pakistan,61.16
Mozambique,60.47
Egypt,60.14
Uganda,59.41
Uzbekistan,58.13
Peru,57.63
Colombia,56.88
Syria,56.32
Namibia,55.59
Paraguay,55.57
Iraq,54.06
Ecuador,54.04
Mexico,53.84
Vietnam,52.29
Lebanon,51.98
Algeria,51.34
Russia,51.33
Iran,50.90
Panama,50.08
United States,50.01
Sri Lanka,49.96
Myanmar,49.77
France,49.71
Moldova,49.70
Albania,49.60
Fiji,49.44
Ghana,49.42
Ukraine,49.36
Nepal,49.18
Ireland,49.07
Mauritius,48.53
Morocco,47.55
Italy,47.50
Indonesia,47.22
Uruguay,47.17
Botswana,46.77
Kosovo (Disputed Territory),46.76
Kazakhstan,46.68
India,46.55
Bosnia And Herzegovina,45.82
Jordan,45.51
Chile,45.01
Barbados,44.38
Cambodia,44.06
Timor-Leste,43.75
Kuwait,43.51
Bulgaria,43.45
Serbia,43.43
Philippines,43.11
Tunisia,42.67
Nicaragua,42.37
Australia,42.16
Sweden,42.09
Belgium,42.04
United Kingdom,42.01
Hungary,41.76
China,41.75
Zambia,41.72
Greece,41.35
Bermuda,40.29
Bahrain,39.97
New Zealand,39.76
Canada,37.46
Latvia,37.22
Thailand,37.06
Lithuania,36.69
Turkey,36.40
Laos,36.24
North Macedonia,36.06
Portugal,35.84
Luxembourg,35.74
Sudan,35.68
Azerbaijan,35.47
Netherlands,35.41
Palestine,35.39
Ethiopia,35.07
Montenegro,34.89
Saudi Arabia,34.57
Oman,34.43
Spain,33.85
Slovakia,33.34
Iceland,33.32
Poland,32.99
Czech Republic,32.89
Cyprus,31.56
Norway,31.19
Belarus,30.50
Israel,30.40
Brunei,30.35
Romania,29.72
Finland,29.55
Croatia,29.34
Armenia,29.14
Slovenia,28.71
Germany,28.49
Estonia,28.13
Monaco,27.94
Switzerland,26.77
Austria,26.25
Malta,25.91
Denmark,25.71
United Arab Emirates,22.22
Georgia,22.01
Taiwan,21.88
Qatar,21.04
Japan,20.24
Hong Kong,19.24
Rwanda,19.16
Faroe Islands,18.53
South Korea,17.99
Turkmenistan,17.86
Singapore,17.59
Isle Of Man,15.10